DWA_ID,DWA_TITLE,CLASSIFICATION,EXPLANATION
4.A.3.a.2.I02.D02,Collect samples of raw materials or finished products.,NON-REMOTE,"This task requires physical presence to handle and collect physical samples, which cannot be done remotely."
4.A.3.a.2.I02.D03,Collect samples of materials or products for testing.,NON-REMOTE,"This task requires physical presence to collect samples, which cannot be done remotely."
4.A.3.a.2.I03.D01,Cut cooked or raw foods.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the food, which cannot be easily replicated remotely."
4.A.3.a.2.I03.D02,Prepare foods for cooking or serving.,NON-REMOTE,"This task requires physical presence to handle and prepare food, which involves direct manual interaction that cannot be easily replicated remotely."
4.A.3.a.2.I03.D03,Prepare meat products for sale or consumption.,NON-REMOTE,"This task requires physical presence to handle, process, and package meat products, which involves direct manual interaction and cannot be performed remotely."
4.A.3.a.2.I03.D04,Add garnishes to food.,NON-REMOTE,"This task requires physical presence to manually add garnishes to food, which cannot be done remotely."
4.A.3.a.2.I03.D05,Assist chefs or caterers with food or drink preparation.,NON-REMOTE,"This task requires physical presence and direct manual interaction with food and drink, which cannot be easily replicated remotely."
4.A.3.a.2.I03.D06,Prepare hot or cold beverages.,NON-REMOTE,This task requires physical presence to handle ingredients and equipment to prepare beverages.
4.A.3.a.2.I03.D07,Cook foods.,NON-REMOTE,Cooking foods requires physical presence and direct manual interaction with ingredients and cooking equipment.
4.A.3.a.2.I03.D08,Arrange food for serving.,NON-REMOTE,This task requires physical presence to handle and arrange food items directly.
4.A.3.a.2.I03.D09,Prepare breads or doughs.,NON-REMOTE,"This task requires physical presence to handle ingredients, operate baking equipment, and perform manual preparation processes that cannot be done remotely."
4.A.3.a.2.I03.D10,Cut meat products.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the meat products, which cannot be performed remotely."
4.A.3.a.2.I03.D11,Prepare foods or meals.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle ingredients and cooking equipment.
4.A.3.a.2.I04.D01,"Install parts, assemblies, or attachments in transportation or material handling equipment.",NON-REMOTE,"This task requires physical presence to handle and install parts directly on equipment, which cannot be done remotely."
4.A.3.a.2.I04.D02,Assemble equipment or components.,NON-REMOTE,This task requires physical presence and direct manual interaction to assemble equipment or components.
4.A.3.a.2.I04.D03,Reassemble equipment after repair.,NON-REMOTE,This task requires physical presence to handle and reassemble the equipment directly.
4.A.3.a.2.I04.D04,Assemble precision electronics or optical equipment.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle and assemble delicate components that cannot be easily replicated remotely.
4.A.3.a.2.I04.D05,"Assemble machine tools, parts, or fixtures.",NON-REMOTE,"This task requires physical presence and direct manual interaction to assemble machine tools, parts, or fixtures, which cannot be easily replicated remotely."
4.A.3.a.2.I04.D06,Assemble electromechanical or hydraulic systems.,NON-REMOTE,"This task requires physical presence and direct manual interaction with components and tools to assemble systems, which cannot be easily replicated remotely."
4.A.3.a.2.I04.D07,Install vehicle parts or accessories.,NON-REMOTE,"This task requires physical presence to handle and fit parts or accessories onto a vehicle, which cannot be done remotely."
4.A.3.a.2.I04.D08,Install machine or equipment replacement parts.,NON-REMOTE,"This task requires physical presence to handle and fit the replacement parts onto the machine or equipment, which cannot be done remotely."
4.A.3.a.2.I04.D09,Bolt objects into place.,NON-REMOTE,"This task requires physical presence and direct manual interaction to secure objects in place, which cannot be performed remotely."
4.A.3.a.2.I04.D10,Assemble products or production equipment.,NON-REMOTE,"This task requires physical presence and direct manual interaction to assemble products or equipment, which cannot be easily replicated remotely."
4.A.3.a.2.I04.D11,Assemble electrical or electronic equipment.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle and assemble components.
4.A.3.a.2.I04.D12,Assemble mechanical components or machine parts.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle and fit mechanical components or machine parts together.
4.A.3.a.2.I04.D13,Install gauges or controls.,NON-REMOTE,This task requires physical presence to handle and install the equipment directly.
4.A.3.a.2.I04.D14,"Assemble electrical components, subsystems, or systems.",NON-REMOTE,This task requires physical presence and direct manual interaction to handle and connect electrical components.
4.A.3.a.2.I05.D01,Sew clothing or other articles.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials and equipment that cannot be easily replicated remotely.
4.A.3.a.2.I05.D02,Sew materials.,NON-REMOTE,"This task requires physical presence and direct manual interaction with materials, which cannot be easily replicated remotely."
4.A.3.a.2.I05.D03,Repair textiles or apparel.,NON-REMOTE,This task requires physical presence and direct manual interaction with the textiles or apparel to perform repairs.
4.A.3.a.2.I05.D04,Operate sewing equipment.,NON-REMOTE,"This task requires physical presence and direct manual interaction with sewing equipment, which cannot be easily replicated remotely."
4.A.3.a.2.I06.D01,Feed materials or products into or through equipment.,NON-REMOTE,This task requires physical presence to handle materials or products and operate equipment directly.
4.A.3.a.2.I06.D02,Mount attachments or tools onto production equipment.,NON-REMOTE,"This task requires physical presence to manually mount attachments or tools onto production equipment, which cannot be done remotely."
4.A.3.a.2.I06.D03,Mount materials or workpieces onto production equipment.,NON-REMOTE,This task requires physical presence to handle materials and operate production equipment directly.
4.A.3.a.2.I06.D04,Maneuver workpieces in equipment during production.,NON-REMOTE,"This task requires physical presence to handle and position workpieces in equipment, which cannot be done remotely."
4.A.3.a.2.I06.D05,Adjust fabrics or other materials during garment production.,NON-REMOTE,This task requires physical presence to handle and manipulate materials directly during the garment production process.
4.A.3.a.2.I06.D06,Position raw materials on processing or production equipment.,NON-REMOTE,"This task requires physical presence to handle and position materials on equipment, which cannot be done remotely."
4.A.3.a.2.I07.D01,Reshape metal workpieces to established specifications.,NON-REMOTE,"This task requires physical presence and direct manual interaction with metal workpieces, which cannot be easily replicated remotely."
4.A.3.a.2.I07.D02,Shape clay or dough to create products.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials.
4.A.3.a.2.I07.D03,Shape glass or similar materials.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials and equipment that cannot be easily replicated remotely.
4.A.3.a.2.I07.D04,Reshape small metal components for precision assembly.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized equipment to reshape metal components.
4.A.3.a.2.I07.D05,Shape metal workpieces with hammers or other small hand tools.,NON-REMOTE,This task requires physical presence and direct manual interaction with the metal workpieces using hand tools.
4.A.3.a.2.I07.D06,Shape surfaces or edges of wood workpieces.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the wood workpieces, which cannot be easily replicated remotely."
4.A.3.a.2.I08.D01,"Arrange artwork, products, or props.",NON-REMOTE,"This task requires physical presence to handle and position tangible items such as artwork, products, or props, which cannot be done remotely."
4.A.3.a.2.I08.D02,Set up merchandise displays.,NON-REMOTE,"This task requires physical presence to arrange and organize products in a physical space, which cannot be done remotely."
4.A.3.a.2.I08.D03,"Prepare materials for preservation, storage, or display.",NON-REMOTE,"This task likely requires physical presence to handle and prepare materials, which involves direct manual interaction and possibly specialized on-site equipment."
4.A.3.a.2.I08.D04,Decorate indoor or outdoor spaces.,NON-REMOTE,This task requires physical presence to arrange and place decorations in the specified spaces.
4.A.3.a.2.I08.D05,Arrange items for use or display.,NON-REMOTE,This task typically requires physical presence to handle and position items directly.
4.A.3.a.2.I09.D01,Adjust tuning or functioning of musical instruments.,NON-REMOTE,"This task requires physical presence to manually adjust and tune the musical instruments, which cannot be done remotely."
4.A.3.a.2.I09.D02,Adjust equipment controls to regulate gas flow.,NON-REMOTE,"This task requires physical presence to manually adjust equipment controls, which cannot be done remotely."
4.A.3.a.2.I09.D03,Adjust equipment controls to regulate flow of production materials or products.,NON-REMOTE,"This task requires physical presence to interact directly with equipment controls, which cannot be easily replicated remotely."
4.A.3.a.2.I09.D04,Calibrate scientific or technical equipment.,NON-REMOTE,This task requires physical presence to interact directly with the equipment for calibration.
4.A.3.a.2.I09.D05,Adjust equipment to ensure optimal performance.,NON-REMOTE,This task requires physical presence to interact directly with the equipment.
4.A.3.a.2.I09.D06,Calibrate equipment to specifications.,NON-REMOTE,This task requires physical presence to interact directly with the equipment and ensure it meets specific operational standards.
4.A.3.a.2.I09.D07,Adjust temperature controls of ovens or other heating equipment.,NON-REMOTE,This task requires physical presence to interact directly with the equipment.
4.A.3.a.2.I09.D08,Set equipment controls to meet cutting specifications.,NON-REMOTE,This task requires physical presence to interact with and adjust the equipment directly.
4.A.3.a.2.I09.D09,Adjust settings or positions of medical equipment.,NON-REMOTE,"This task requires physical presence to interact directly with medical equipment, which cannot be easily replicated remotely."
4.A.3.a.2.I09.D10,Adjust office equipment to ensure proper operation.,NON-REMOTE,This task requires physical presence to manually adjust and ensure the proper operation of office equipment.
4.A.3.a.2.I09.D11,Adjust the tension of nuts or bolts.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the nuts or bolts, which cannot be performed remotely."
4.A.3.a.2.I09.D12,Adjust equipment controls to regulate coolant flow.,NON-REMOTE,"This task requires physical presence to interact directly with the equipment controls, which cannot be easily replicated remotely."
4.A.3.a.2.I09.D13,"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.",NON-REMOTE,"This task requires physical presence to manually adjust equipment controls, which cannot be easily replicated remotely."
4.A.3.a.2.I09.D14,Adjust flow of electricity to tools or production equipment.,NON-REMOTE,"This task requires physical presence to interact directly with electrical systems and equipment, which cannot be easily managed remotely."
4.A.3.a.2.I09.D15,Adjust vehicle components according to specifications.,NON-REMOTE,"This task requires physical presence to interact directly with the vehicle and its components, which cannot be done remotely."
4.A.3.a.2.I09.D16,Control power supply connections.,NON-REMOTE,"This task requires physical presence to handle and manage power supply connections, which involves direct manual interaction with equipment."
4.A.3.a.2.I09.D17,Adjust building climate control systems.,NON-REMOTE,This task requires physical presence to interact with on-site equipment and systems that cannot be easily adjusted remotely.
4.A.3.a.2.I10.D01,Train animals.,NON-REMOTE,"Training animals requires physical presence and direct interaction with the animals, which cannot be easily replicated remotely."
4.A.3.a.2.I11.D01,Prepare medical supplies or equipment for use.,NON-REMOTE,"This task requires physical presence to handle and organize medical supplies or equipment, which cannot be done remotely."
4.A.3.a.2.I11.D02,Prepare medical instruments or equipment for use.,NON-REMOTE,"This task requires physical presence to handle and prepare the medical instruments or equipment, which cannot be done remotely."
4.A.3.a.2.I11.D03,Prepare patient treatment areas for use.,NON-REMOTE,"This task requires physical presence to arrange and set up the treatment areas, which involves direct manual interaction with the environment and equipment."
4.A.3.a.2.I12.D01,Cut openings in existing structures.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the structures, which cannot be performed remotely."
4.A.3.a.2.I12.D02,Trim excess material from workpieces.,NON-REMOTE,This task requires physical presence and direct manual interaction with the workpieces to trim excess material.
4.A.3.a.2.I12.D03,Cut materials according to specifications or needs.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials and tools to perform the cutting process.
4.A.3.a.2.I12.D04,Cut industrial materials in preparation for fabrication or processing.,NON-REMOTE,This task requires physical presence and direct manual interaction with industrial materials and equipment.
4.A.3.a.2.I12.D05,"Cut tile, stone, or other masonry materials.",NON-REMOTE,This task requires physical presence and direct manual interaction with materials and tools that cannot be replicated remotely.
4.A.3.a.2.I12.D06,Cut metal components for installation.,NON-REMOTE,"This task requires physical presence and the use of specialized on-site equipment to cut metal components, which cannot be easily replicated remotely."
4.A.3.a.2.I12.D07,Cut wood components for installation.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials and tools that cannot be replicated remotely.
4.A.3.a.2.I12.D08,Cut fabrics.,NON-REMOTE,This task requires physical presence and direct manual interaction with the materials.
4.A.3.a.2.I12.D09,Trim excess material from installations.,NON-REMOTE,This task requires physical presence and direct manual interaction to remove excess material from installations.
4.A.3.a.2.I12.D10,Cut glass.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the glass, which cannot be performed remotely."
4.A.3.a.2.I12.D11,"Cut carpet, vinyl or other flexible materials.",NON-REMOTE,This task requires physical presence and direct manual interaction with materials that cannot be performed remotely.
4.A.3.a.2.I13.D01,Prepare explosives for detonation.,NON-REMOTE,"This task requires physical presence and direct manual interaction with explosives, which cannot be performed remotely."
4.A.3.a.2.I13.D02,Immerse objects or workpieces in cleaning or coating solutions.,NON-REMOTE,"This task requires physical presence to handle and immerse objects in solutions, which cannot be done remotely."
4.A.3.a.2.I13.D03,Prepare excavation or extraction sites for commissioning or decommissioning.,NON-REMOTE,This task requires physical presence and direct manual interaction at the site to prepare it for excavation or extraction activities.
4.A.3.a.2.I13.D04,Prepare hazardous waste for processing or disposal.,NON-REMOTE,"This task requires physical handling and preparation of hazardous materials, which necessitates being on-site to ensure safety and compliance with regulations."
4.A.3.a.2.I13.D05,Heat material or workpieces to prepare for or complete production.,NON-REMOTE,"This task requires physical presence and direct manual interaction with materials or workpieces, which cannot be easily replicated remotely."
4.A.3.a.2.I13.D06,"Melt metal, plastic, or other materials to prepare for production.",NON-REMOTE,"This task requires physical presence and specialized on-site equipment to handle and melt materials, which cannot be done remotely."
4.A.3.a.2.I13.D07,Prepare fabrics or materials for processing or production.,NON-REMOTE,"This task requires physical presence to handle and prepare materials, which involves direct manual interaction that cannot be easily replicated remotely."
4.A.3.a.2.I13.D08,"Prepare biological feedstock for physical, chemical, or biological processing.",NON-REMOTE,"This task requires physical presence to handle and prepare biological materials, which involves direct manual interaction and possibly specialized on-site equipment."
4.A.3.a.2.I13.D09,Prepare materials for processing.,NON-REMOTE,"This task likely requires physical presence to handle and organize materials, which cannot be easily replicated remotely."
4.A.3.a.2.I13.D10,Skim impurities from molten metal.,NON-REMOTE,"This task requires physical presence and direct manual interaction with molten metal, which cannot be performed remotely."
4.A.3.a.2.I13.D11,Ignite fuel to activate heating equipment.,NON-REMOTE,"This task requires physical presence to manually ignite the fuel and operate the heating equipment, which cannot be done remotely."
4.A.3.a.2.I14.D01,Cut trees or logs.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the trees or logs, which cannot be performed remotely."
4.A.3.a.2.I14.D02,Trim trees or other vegetation.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the trees or vegetation, which cannot be performed remotely."
4.A.3.a.2.I15.D01,Grind parts to required dimensions.,NON-REMOTE,This task requires physical presence and the use of specialized on-site equipment to manually grind parts to specific dimensions.
4.A.3.a.2.I15.D02,"Remove dents from equipment, materials, tools or structures.",NON-REMOTE,"This task requires physical presence and direct manual interaction to remove dents, which cannot be easily replicated remotely."
4.A.3.a.2.I15.D03,Smooth surfaces of objects or equipment.,NON-REMOTE,"This task requires physical presence and direct manual interaction to smooth surfaces, which cannot be easily replicated remotely."
4.A.3.a.2.I15.D04,"Polish materials, workpieces, or finished products.",NON-REMOTE,"This task requires physical presence and direct manual interaction with the materials or products, which cannot be easily replicated remotely."
4.A.3.a.2.I15.D05,Smooth metal surfaces or edges.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the metal surfaces or edges, which cannot be performed remotely."
4.A.3.a.2.I15.D06,Smooth surfaces with abrasive materials or tools.,NON-REMOTE,This task requires physical presence and direct manual interaction with surfaces and tools.
4.A.3.a.2.I16.D01,"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment.",NON-REMOTE,This task requires physical presence and direct manual interaction with specialized on-site equipment.
4.A.3.a.2.I16.D02,Install solar energy systems.,NON-REMOTE,"This task requires physical presence to handle and install equipment on-site, which cannot be done remotely."
4.A.3.a.2.I16.D03,"Install heating, ventilation, or air conditioning (HVAC) equipment.",NON-REMOTE,This task requires physical presence and direct manual interaction with specialized on-site equipment.
4.A.3.a.2.I17.D01,Cast molds of patient anatomies to create medical or dental devices.,NON-REMOTE,"This task requires physical presence to interact directly with patient anatomies and specialized equipment to cast molds, which cannot be done remotely."
4.A.3.a.2.I17.D02,Make patient-assistive devices or device models.,NON-REMOTE,"This task requires physical presence to create and assemble assistive devices, which involves direct manual interaction and possibly specialized on-site equipment."
4.A.3.a.2.I17.D03,Fabricate medical devices.,NON-REMOTE,Fabricating medical devices requires physical presence and specialized on-site equipment for manufacturing and assembly processes.
4.A.3.a.2.I17.D04,Construct customized assistive medical or dental devices.,NON-REMOTE,"This task requires physical presence and direct manual interaction to construct and fit customized medical or dental devices, which cannot be easily replicated remotely."
4.A.3.a.2.I18.D01,Direct vehicle traffic.,NON-REMOTE,"This task requires physical presence to manage and control the flow of vehicles in real-time, which cannot be done remotely."
4.A.3.a.2.I19.D01,Remove parts or components from vehicles.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the vehicles, which cannot be performed remotely."
4.A.3.a.2.I19.D02,Disassemble equipment for maintenance or repair.,NON-REMOTE,This task requires physical presence to handle and work directly with the equipment.
4.A.3.a.2.I19.D03,Disassemble equipment to inspect for deficiencies.,NON-REMOTE,"This task requires physical presence to manually disassemble and inspect equipment, which cannot be done remotely."
4.A.3.a.2.I19.D04,"Remove accessories, tools, or other parts from equipment.",NON-REMOTE,"This task requires physical presence to manually remove items from equipment, which cannot be done remotely."
4.A.3.a.2.I19.D05,Dismantle equipment or temporary structures.,NON-REMOTE,This task requires physical presence and direct manual interaction to dismantle equipment or structures.
4.A.3.a.2.I19.D06,Remove parts or components from equipment.,NON-REMOTE,This task requires physical presence to manually interact with and remove parts from equipment.
4.A.3.a.2.I19.D07,Dismantle heavy equipment or machinery.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the equipment or machinery, which cannot be performed remotely."
4.A.3.a.2.I19.D08,Disable door locks.,NON-REMOTE,Disabling door locks typically requires physical presence to manually interact with the locking mechanism.
4.A.3.a.2.I20.D01,"Install electrical components, equipment, or systems.",NON-REMOTE,This task requires physical presence to handle and connect electrical components and equipment directly.
4.A.3.a.2.I20.D02,Install drilling equipment.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized on-site equipment.
4.A.3.a.2.I20.D03,Install audio or communications equipment.,NON-REMOTE,"This task requires physical presence to handle and set up equipment, which cannot be done remotely."
4.A.3.a.2.I20.D04,Install production equipment or systems.,NON-REMOTE,This task requires physical presence to handle and set up equipment or systems on-site.
4.A.3.a.2.I20.D05,Install instrumentation or electronic equipment or systems.,NON-REMOTE,"This task requires physical presence to handle and install equipment or systems, which cannot be done remotely."
4.A.3.a.2.I20.D06,Install metering equipment.,NON-REMOTE,This task requires physical presence to handle and set up the equipment on-site.
4.A.3.a.2.I20.D07,Install home appliances.,NON-REMOTE,"This task requires physical presence to handle and set up the appliances, which cannot be done remotely."
4.A.3.a.2.I21.D01,"Treat nails by shaping, decorating, or augmenting.",NON-REMOTE,"This task requires physical presence and direct manual interaction to shape, decorate, or augment nails."
4.A.3.a.2.I21.D02,"Apply cleansing or conditioning agents to client hair, scalp, or skin.",NON-REMOTE,"This task requires physical presence to apply products directly to a client's hair, scalp, or skin, which cannot be done remotely."
4.A.3.a.2.I21.D03,Apply solutions to hair for therapeutic or cosmetic purposes.,NON-REMOTE,This task requires physical presence to apply hair treatments directly to clients.
4.A.3.a.2.I21.D04,Apply makeup to alter or enhance appearance.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply makeup.
4.A.3.a.2.I22.D01,Adjust position of molds during processing.,NON-REMOTE,"This task requires physical presence to manually adjust the molds, which cannot be done remotely."
4.A.3.a.2.I22.D02,Position safety or support equipment.,NON-REMOTE,"This task requires physical presence to position equipment, which involves direct manual interaction and cannot be easily replicated remotely."
4.A.3.a.2.I22.D03,Position animal trapping or capture equipment.,NON-REMOTE,"This task requires physical presence to set up and position equipment in specific locations, which cannot be done remotely."
4.A.3.a.2.I22.D04,Position construction forms or molds.,NON-REMOTE,This task requires physical presence and direct manual interaction to position forms or molds on a construction site.
4.A.3.a.2.I22.D05,Position construction or extraction equipment.,NON-REMOTE,"This task requires physical presence to operate and position equipment on-site, which cannot be done remotely."
4.A.3.a.2.I22.D06,"Position equipment using hand tools, power tools, or heavy equipment.",NON-REMOTE,"This task requires physical presence and the use of on-site equipment and tools, which cannot be replicated remotely."
4.A.3.a.2.I22.D07,"Position patterns on equipment, materials, or workpieces.",NON-REMOTE,This task requires physical presence to handle and position items directly on equipment or materials.
4.A.3.a.2.I22.D08,Level machines or equipment.,NON-REMOTE,"This task requires physical presence to manually adjust and ensure machines or equipment are properly leveled, which cannot be done remotely."
4.A.3.a.2.I22.D09,Position containers to receive materials or workpieces.,NON-REMOTE,This task requires physical presence to position containers and handle materials or workpieces directly.
4.A.3.a.2.I22.D10,Position material handling equipment.,NON-REMOTE,"This task requires physical presence to operate and position material handling equipment, which cannot be done remotely."
4.A.3.a.2.I22.D11,Position hand tools.,NON-REMOTE,This task requires physical presence and direct manual interaction to position hand tools.
4.A.3.a.2.I23.D01,"Secure watercraft to docks, wharves or other vessels.",NON-REMOTE,"This task requires physical presence and direct manual interaction to secure watercraft, which cannot be performed remotely."
4.A.3.a.2.I24.D01,Adjust prostheses or other assistive devices.,NON-REMOTE,This task requires physical presence to manually adjust and fit prostheses or assistive devices to ensure proper function and comfort for the user.
4.A.3.a.2.I24.D02,Adjust dental devices or appliances to ensure fit.,NON-REMOTE,"This task requires physical presence and direct manual interaction with dental devices or appliances, which cannot be performed remotely."
4.A.3.a.2.I25.D01,"Engrave designs, text, or other markings onto materials, workpieces, or products.",NON-REMOTE,This task requires physical presence and direct manual interaction with materials and equipment to engrave designs.
4.A.3.a.2.I26.D01,Embalm corpses.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the body, which cannot be performed remotely."
4.A.3.a.2.I27.D01,Fabricate devices or components.,NON-REMOTE,"This task requires physical presence and direct manual interaction to create physical devices or components, which cannot be easily replicated remotely."
4.A.3.a.2.I27.D02,Fabricate parts or components.,NON-REMOTE,"This task requires physical presence and direct manual interaction with materials and tools to create parts or components, which cannot be easily replicated remotely."
4.A.3.a.2.I27.D03,Fabricate products or components using machine tools.,NON-REMOTE,"This task requires physical presence and the use of specialized on-site equipment, such as machine tools, which cannot be easily replicated remotely."
4.A.3.a.2.I28.D01,Attach decorative or functional accessories to products.,NON-REMOTE,"This task requires physical presence to manually attach accessories to products, which cannot be easily replicated remotely."
4.A.3.a.2.I28.D02,"Construct distinctive physical objects for artistic, functional, or commercial purposes.",NON-REMOTE,"This task requires physical presence and direct manual interaction to construct physical objects, which cannot be easily replicated remotely."
4.A.3.a.2.I29.D01,Slaughter animals.,NON-REMOTE,"This task requires physical presence and direct manual interaction with animals, which cannot be performed remotely."
4.A.3.a.2.I29.D02,Remove skin or other body parts from animals.,NON-REMOTE,"This task requires physical presence and direct manual interaction with animals, which cannot be performed remotely."
4.A.3.a.2.I29.D03,Process animal carcasses.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the animal carcasses, which cannot be performed remotely."
4.A.3.a.2.I30.D01,Drill holes in earth or rock.,NON-REMOTE,This task requires physical presence and specialized on-site equipment to perform the drilling.
4.A.3.a.2.I30.D02,Drill holes in construction materials.,NON-REMOTE,This task requires physical presence and direct manual interaction with construction materials and equipment.
4.A.3.a.2.I30.D03,"Drill holes in parts, equipment, or materials.",NON-REMOTE,This task requires physical presence and direct manual interaction with equipment and materials.
4.A.3.a.2.I31.D01,Groom wigs or hairpieces.,NON-REMOTE,This task requires physical presence to handle and style the wigs or hairpieces directly.
4.A.3.a.2.I31.D02,Trim client hair.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the client's hair, which cannot be performed remotely."
4.A.3.a.2.I32.D01,Set up classroom materials or equipment.,NON-REMOTE,This task requires physical presence to arrange and organize materials or equipment in a classroom setting.
4.A.3.a.2.I32.D02,Arrange childcare or educational settings to ensure physical safety of children.,NON-REMOTE,"This task requires physical presence to assess and modify the environment to ensure the safety of children, which cannot be done remotely."
4.A.3.a.2.I32.D03,Display student work.,NON-REMOTE,"Displaying student work typically requires physical presence to set up and arrange the work in a physical space, such as a classroom or gallery, which cannot be easily replicated remotely."
4.A.3.a.2.I33.D01,Treat facilities to eliminate pests.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply treatments and ensure pests are eliminated effectively.
4.A.3.a.2.I33.D02,Paint surfaces or equipment.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply paint to surfaces or equipment.
4.A.3.a.2.I33.D03,Apply paint to surfaces.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply paint to surfaces.
4.A.3.a.2.I33.D04,Refinish wood or metal surfaces.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the surfaces being refinished, which cannot be easily replicated remotely."
4.A.3.a.2.I33.D05,Apply chemical solutions to plants to protect against disease or insects or to enhance growth.,NON-REMOTE,"This task requires physical presence to apply chemical solutions directly to plants, which cannot be done remotely."
4.A.3.a.2.I33.D06,Apply protective or decorative finishes to workpieces or products.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply finishes to workpieces or products.
4.A.3.a.2.I33.D07,Treat greenery or surfaces with protective substances.,NON-REMOTE,"This task requires physical presence to apply substances directly to greenery or surfaces, which cannot be done remotely."
4.A.3.a.2.I33.D08,Apply solutions to production equipment.,NON-REMOTE,This task requires physical presence to interact directly with production equipment.
4.A.3.a.2.I33.D09,Apply sealants or other protective coatings.,NON-REMOTE,"This task requires physical presence to apply materials directly onto surfaces, which cannot be done remotely."
4.A.3.a.2.I34.D01,Connect hoses to equipment or machinery.,NON-REMOTE,"This task requires physical presence to manually connect hoses to equipment or machinery, which cannot be done remotely."
4.A.3.a.2.I34.D02,Rewire electrical or electronic systems.,NON-REMOTE,"This task requires physical presence and direct manual interaction with electrical or electronic systems, which cannot be performed remotely."
4.A.3.a.2.I34.D03,Connect hoses to equipment or piping.,NON-REMOTE,"This task requires physical presence to manually connect hoses to equipment or piping, which cannot be done remotely."
4.A.3.a.2.I34.D04,Lay cables to connect equipment.,NON-REMOTE,This task requires physical presence and direct manual interaction to lay cables and connect equipment on-site.
4.A.3.a.2.I34.D05,Thread wire or cable through ducts or conduits.,NON-REMOTE,"This task requires physical presence to handle and guide the wire or cable through the ducts or conduits, which cannot be done remotely."
4.A.3.a.2.I34.D06,Run wiring to connect equipment.,NON-REMOTE,"This task requires physical presence to handle and install wiring, which involves direct manual interaction and cannot be performed remotely."
4.A.3.a.2.I34.D07,Connect electrical components or equipment.,NON-REMOTE,This task requires physical presence to handle and connect electrical components or equipment directly.
4.A.3.a.2.I34.D08,Connect supply lines to production equipment or tools.,NON-REMOTE,"This task requires physical presence to manually connect supply lines to equipment, which cannot be done remotely."
4.A.3.a.2.I34.D09,Connect cables or electrical lines.,NON-REMOTE,This task requires physical presence to handle and connect the cables or electrical lines directly.
4.A.3.a.2.I35.D01,Solder parts or workpieces.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized equipment.
4.A.3.a.2.I35.D02,Weld metal components.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized on-site equipment.
4.A.3.a.2.I35.D03,Solder parts or connections between parts.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized equipment.
4.A.3.a.2.I35.D04,Braze metal parts or components.,NON-REMOTE,This task requires physical presence and direct manual interaction with specialized equipment to perform the brazing process.
4.A.3.a.2.I35.D05,Operate welding equipment.,NON-REMOTE,Operating welding equipment requires physical presence and direct manual interaction with specialized on-site equipment.
4.A.3.a.2.I35.D06,Rivet metal components.,NON-REMOTE,This task requires physical presence and direct manual interaction with metal components and tools.
4.A.3.a.2.I36.D01,"Build models, patterns, or templates.",NON-REMOTE,"This task typically requires physical presence to work with materials and tools to create tangible models, patterns, or templates."
4.A.3.a.2.I36.D02,Assemble garments or textile products.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle materials and operate machinery that cannot be easily replicated remotely.
4.A.3.a.2.I36.D03,Build production molds.,NON-REMOTE,Building production molds requires physical presence and the use of specialized on-site equipment and materials that cannot be replicated remotely.
4.A.3.a.2.I36.D04,Assemble wood products.,NON-REMOTE,This task requires physical presence and direct manual interaction with materials and tools to assemble wood products.
4.A.3.a.2.I36.D05,Build construction forms or molds.,NON-REMOTE,This task requires physical presence and direct manual interaction to construct forms or molds on-site.
